name_of_listing,listing_id,city,state,country,bedrooms,bathrooms,beds,accommodation_total,host_name,host_id,latitude,longitude,room_type,picture_url,ratings,listing_amenities,_id
Cottage on Hughes,49709910,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,3 beds,$90, Anna,377947421,36.07552,-94.17414,Entire cottage hosted by Anna,https://a0.muscache.com/im/pictures/miso/Hosting-49709910/original/ca94f4f1-bc23-4366-8417-e7a523975057.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services
The Shire of NWA,,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$50, Taylor,429853393,36.05321,-94.15716,Entire home hosted by Taylor,https://a0.muscache.com/im/pictures/d3aee85e-6871-4c9a-91c7-dcf5d8bce6a1.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
The Condo on Rollston & Watson,45334050,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$98, Abbi,354323656,36.0674,-94.1631,Entire condo hosted by Abbi,https://a0.muscache.com/im/pictures/5c95c015-2cbd-46e3-a40a-4ea13c161355.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
The East View - Overlooks Downtown - Steps to Dickson,34969229,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$112, Cohobnb,72787555,36.0664,-94.16769,Entire rental unit hosted by Cohobnb,https://a0.muscache.com/im/pictures/5e03bab9-495e-4dbb-811b-ba7d8f1f0cd6.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Private Suite w/Treehouse Vibe!,36706663,Fayetteville,Arkansas,United States,1 bedroom,1 private bath,2 beds,$30, Dr. Dee,130068864,36.08244,-94.137,Private room in home hosted by Dr. Dee,https://a0.muscache.com/im/pictures/ca8b9c51-3b1c-4823-8d49-19ed90ef5dab.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
The Tanglewood Treehouse ~ Walk to everything!,49904436,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$76, Abbi,354323656,36.06064,-94.16721,Entire condo hosted by Abbi,https://a0.muscache.com/im/pictures/225e7860-f98d-4712-b1ad-80cd1d048bfd.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Boho Bungalow in Historic Downtown Fayetteville,45409860,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$126, Gabe And Hayden,58356117,36.06972,-94.14947,Entire home hosted by Gabe And Hayden,https://a0.muscache.com/im/pictures/f68029d4-2237-4358-908b-9715eb88a810.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Newly Renovated Duplex - Perfect Location (Side A),52689173,Fayetteville,Arkansas,United States,1 bedroom,1 bath,2 beds,$106, Payne,59912583,36.06522,-94.16391,Entire home hosted by Payne,https://a0.muscache.com/im/pictures/miso/Hosting-52689173/original/413c20a3-3cfa-4f06-bc7f-a2191f5c8e9e.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
The Blue Ark Cabin (Hot Tub and Fire Pit Retreat!),47122205,Fayetteville,Arkansas,United States,1 bedroom,1 bath,2 beds,$99, Priscilla,15061826,36.05529,-94.20315,Entire home hosted by Priscilla,https://a0.muscache.com/im/pictures/f4096569-ab45-4aad-a2a8-4acda23b1550.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
Garland Getaway near UA & Trails! Wi-Fi W/D!,563953713287831379,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,2 beds,$72, Rebecca,8662322,36.08968,-94.17421,Entire condo hosted by Rebecca,https://a0.muscache.com/im/pictures/miso/Hosting-563953713287831379/original/ea2f2e1c-e71c-4deb-a541-657d3e68b5a0.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Hog Den,41840756,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$75, Nick & Brittany,273069719,36.09009,-94.17415,Entire condo hosted by Nick & Brittany,https://a0.muscache.com/im/pictures/6748c7fc-68aa-4107-a5af-4975109a21ec.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
5min to UofA - New South Fayetteville House,49269358,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,2 beds,$63, Bradley,329141334,36.0551,-94.14642,Entire home hosted by Bradley,https://a0.muscache.com/im/pictures/miso/Hosting-49269358/original/2b7965a7-158e-40d4-a920-e81bce2361b7.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
The Wildflower - Walk Everywhere Downtown,45525791,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$95, Cohobnb,72787555,36.06336,-94.16059,Entire rental unit hosted by Cohobnb,https://a0.muscache.com/im/pictures/df40d956-b38d-4e5c-ad6b-f655ff7cc0fd.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
